ID,SALESPERSON_EXCEPTION__C
0067000000HnTwXAAV,TRUE
0067000000HnU4kAAF,TRUE
0067000000HnUNLAA3,TRUE
0067000000HnUTbAAN,TRUE
0067000000HnUXdAAN,TRUE
0067000000HnUfoAAF,TRUE
0067000000HnUiKAAV,TRUE
0067000000HnUoSAAV,TRUE
0067000000HnV3HAAV,TRUE
0067000000HnVDRAA3,TRUE
0067000000HnVFmAAN,TRUE
0067000000HnWJnAAN,TRUE
0067000000HnWI7AAN,TRUE
0067000000HnWLyAAN,TRUE
0067000000HnWaZAAV,TRUE
0067000000HnWnPAAV,TRUE
0067000000HnWpZAAV,TRUE
0067000000HnWohAAF,TRUE
0067000000HnWuaAAF,TRUE
0067000000HnWiGAAV,TRUE
0067000000HnWwiAAF,TRUE
0067000000HnXBMAA3,TRUE
0067000000HnXW9AAN,TRUE
0067000000HnZkMAAV,TRUE
0067000000HnZpVAAV,TRUE
0067000000HnaOFAAZ,TRUE
0067000000HnaVLAAZ,TRUE
0067000000HnaVQAAZ,TRUE
0067000000HnaVfAAJ,TRUE
0067000000HnbeRAAR,TRUE
0067000000HncRPAAZ,TRUE
0067000000HncRZAAZ,TRUE
0067000000HncW0AAJ,TRUE
0067000000HncWSAAZ,TRUE
0067000000HncYOAAZ,TRUE
0067000000HncVaAAJ,TRUE
0067000000HncdjAAB,TRUE
0067000000HncebAAB,TRUE
0067000000HnclSAAR,TRUE
0067000000HncZnAAJ,TRUE
0067000000HnckBAAR,TRUE
0067000000HnclwAAB,TRUE
0067000000HncolAAB,TRUE
0067000000HncuZAAR,TRUE
0067000000HncwaAAB,TRUE
0067000000HncxKAAR,TRUE
0067000000Hnd0JAAR,TRUE
0067000000Hnd42AAB,TRUE
0067000000HneZJAAZ,TRUE
0067000000HneiRAAR,TRUE
0067000000Hnej0AAB,TRUE
0067000000HnevKAAR,TRUE
0067000000Hnf1IAAR,TRUE
0067000000Hnf1cAAB,TRUE
0067000000Hnf4wAAB,TRUE
0067000000HnfBiAAJ,TRUE
0067000000HnfE7AAJ,TRUE
0067000000HnfTCAAZ,TRUE
0067000000HnfWkAAJ,TRUE
0067000000HnffOAAR,TRUE
0067000000HngxcAAB,TRUE
0067000000HnhJOAAZ,TRUE
0067000000HnhNGAAZ,TRUE
0067000000HnhN2AAJ,TRUE
0067000000HnhOiAAJ,TRUE
0067000000HnhSlAAJ,TRUE
0067000000HnhS7AAJ,TRUE
0067000000HnhoCAAR,TRUE
0067000000HnhjNAAR,TRUE
0067000000HnhqxAAB,TRUE
0067000000Hni66AAB,TRUE
0067000000HniJeAAJ,TRUE
0067000000HniHyAAJ,TRUE
0067000000HniLPAAZ,TRUE
0067000000HniUaAAJ,TRUE
0067000000HnjxFAAR,TRUE
0067000000HnkGKAAZ,TRUE
0067000000HnkKgAAJ,TRUE
0067000000HnkatAAB,TRUE
0067000000HnkgmAAB,TRUE
0067000000HnkZEAAZ,TRUE
0067000000HnlbBAAR,TRUE
0067000000HnnUdAAJ,TRUE
0067000000HnnhDAAR,TRUE
